circle,0.6,True
725,-9.80000,-16.80000
726,-8.40000,-16.80000
727,-7.00000,-16.80000
728,-5.60000,-16.80000
729,-4.20000,-16.80000
730,-2.80000,-16.80000
731,-1.40000,-16.80000
732,0.00000,-16.80000
733,1.40000,-16.80000
734,2.80000,-16.80000
735,4.20000,-16.80000
736,5.60000,-16.80000
737,7.00000,-16.80000
738,8.40000,-16.80000
739,9.80000,-16.80000
740,11.20000,-16.80000
741,12.60000,-16.80000
742,14.00000,-16.80000
743,-12.60000,-18.20000
744,-11.20000,-18.20000
745,-9.80000,-18.20000
746,-8.40000,-18.20000
747,-7.00000,-18.20000
748,-5.60000,-18.20000
749,-4.20000,-18.20000
750,-2.80000,-18.20000
751,-1.40000,-18.20000
752,0.00000,-18.20000
753,1.40000,-18.20000
754,2.80000,-18.20000
755,4.20000,-18.20000
756,5.60000,-18.20000
757,7.00000,-18.20000
758,8.40000,-18.20000
759,9.80000,-18.20000
760,11.20000,-18.20000
761,12.60000,-18.20000
762,-9.80000,-19.60000
763,-8.40000,-19.60000
764,-7.00000,-19.60000
765,-5.60000,-19.60000
766,-4.20000,-19.60000
767,-2.80000,-19.60000
768,-1.40000,-19.60000
769,0.00000,-19.60000
770,1.40000,-19.60000
771,2.80000,-19.60000
772,4.20000,-19.60000
773,5.60000,-19.60000
774,7.00000,-19.60000
775,8.40000,-19.60000
776,9.80000,-19.60000
777,-5.60000,-21.00000
778,-4.20000,-21.00000
779,-2.80000,-21.00000
780,-1.40000,-21.00000
781,0.00000,-21.00000
782,1.40000,-21.00000
783,2.80000,-21.00000
784,4.20000,-21.00000
785,5.60000,-21.00000
